"species","decimalLatitude","decimalLongitude"
"144","Mesophyllum erubescens",-41.156917,173.408283
"145","Mesophyllum erubescens",-40.78085,172.983167
"146","Mesophyllum erubescens",-43.645767,172.9997
"147","Mesophyllum erubescens",-38.66,178.11
"148","Mesophyllum erubescens",-43.585,172.773833
"149","Mesophyllum erubescens",-40.784,172.961283
"150","Mesophyllum erubescens",-39.05,173.983333
"151","Mesophyllum erubescens",-40.794383,176.266767
"152","Mesophyllum erubescens",-41.731467,171.469633
"153","Mesophyllum erubescens",-43.623333,172.723333
"154","Mesophyllum erubescens",-41.731467,171.469633
"155","Mesophyllum erubescens",-41.156917,173.408283
"156","Mesophyllum erubescens",-40.787033,172.95705
"157","Mesophyllum erubescens",-41.156917,173.408283
"158","Mesophyllum erubescens",-41.731467,171.469633
"159","Mesophyllum erubescens",-41.156533,173.4009
"160","Mesophyllum erubescens",-41.731467,171.469633
"161","Mesophyllum erubescens",-41.731467,171.469633
"162","Mesophyllum erubescens",-40.790883,172.95215
"163","Mesophyllum erubescens",-43.621817,172.779317
"164","Mesophyllum erubescens",-40.790883,172.95215
"165","Mesophyllum erubescens",-41.156533,173.4009
"166","Mesophyllum erubescens",-40.784,172.961283
"167","Mesophyllum erubescens",-42.315,171.273333
"168","Mesophyllum erubescens",-42.315,171.273333
"169","Mesophyllum erubescens",-41.731467,171.469633
"170","Mesophyllum erubescens",-40.787033,172.95705
"171","Mesophyllum erubescens",-39.516667,173.9
"172","Mesophyllum erubescens",-39.05,173.983333
"173","Mesophyllum erubescens",-40.787033,172.95705
"174","Mesophyllum erubescens",-41.731467,171.469633
"175","Mesophyllum erubescens",-41.183333,173.363333
"176","Mesophyllum erubescens",-40.787033,172.95705
"177","Mesophyllum erubescens",-40.78085,172.983167
"178","Mesophyllum erubescens",-42.315,171.273333
"179","Mesophyllum erubescens",-42.315,171.273333
"180","Mesophyllum erubescens",-42.315,171.273333
"181","Mesophyllum erubescens",-42.315,171.273333
"182","Mesophyllum erubescens",-42.266667,173.8
"183","Mesophyllum erubescens",-40.790883,172.95215
"184","Mesophyllum erubescens",-42.315,171.273333
"185","Mesophyllum erubescens",-42.315,171.273333
"186","Mesophyllum erubescens",-42.315,171.273333
"187","Mesophyllum erubescens",-42.315,171.273333
"188","Mesophyllum erubescens",-42.031667,171.365
"189","Mesophyllum erubescens",-41.733333,174.283333
"190","Mesophyllum erubescens",-40.787033,172.95705
"191","Mesophyllum erubescens",-41.349167,174.762667
"192","Mesophyllum erubescens",-41.345,174.821667
"193","Mesophyllum erubescens",-41.349167,174.762667
"194","Mesophyllum erubescens",-40.790883,172.95215
"195","Mesophyllum erubescens",-41.349167,174.762667
